gene_symbol,logFC_AV,logFC_EC,logFC_LP,logFC_MT
ACKR3,2.519335711,2.498033264,3.721596814,1.154325892
AMPD3,2.921737732,2.712480281,3.561899099,1.528993536
AREG,2.313850035,3.241604554,1.402479229,1.777220625
ATF3,1.880314712,1.719147456,1.763279651,1.315282813
BCL3,3.698079254,4.310399368,2.250528932,1.092723679
BIRC3,7.676916975,7.861870695,4.852285124,1.450493364
BMP6,3.048855766,3.74063599,4.972859806,2.32255729
C11orf96,2.137063302,2.204514186,5.10548059,1.241493366
CCDC85A,1.226622605,1.573182469,1.213524956,1.174105906
CCL2,5.060566252,6.39281774,2.794953347,2.127660787
CCL20,7.484568132,7.169521299,5.238536034,2.399181506
CCL3L1,9.124576475,8.548787634,4.971679748,2.017114674
CCL4,10.30916839,10.42861595,4.53985578,3.279347824
CCL4L2,11.76310256,11.97376568,5.161872523,4.103511295
CCL8,5.803330144,9.135681558,3.601136224,2.908635786
CCR7,7.626673926,8.088622215,6.023697713,3.433598255
CD274,4.982540964,6.698189158,1.683604015,1.659112686
CD40,5.197485529,5.186383207,3.107411477,1.161288476
CD80,5.869562229,5.962263195,2.805954361,1.268377485
CD83,4.405917249,4.382159353,3.863675514,1.149079003
CEMIP,1.748464955,1.693591225,3.1411586,1.112189435
CSF3,4.254151219,5.351181646,6.034353689,2.613260499
CSRNP1,2.328347896,2.949060548,2.513145237,1.013025682
CXCL1,8.678961615,8.44030983,5.111245726,1.873162653
CXCL10,6.413931251,9.569270643,3.026127314,2.886597426
CXCL11,4.642469922,7.768998085,3.878339412,2.681766194
CXCL13,4.204717576,5.552523688,3.745558,2.383037763
CXCL2,7.901368702,7.866219783,5.412298219,2.465666179
CXCL3,7.849286077,7.428149739,4.999064151,3.524640831
CXCL8,8.358381484,8.135026582,5.264071545,2.550807706
DLL4,6.441677931,7.253813972,3.410464448,1.427596382
DUSP1,1.44653985,1.781080354,3.491497357,1.446414576
EBF1,2.001807501,1.743426773,4.497362408,1.115657486
EBI3,6.908629633,7.41436238,3.573917886,1.495294822
