"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","gene_symbols"
"hsa04060","Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","24/67","298/9422",0.0805369127516778,11.3256536111389,15.3284080486482,1.14442417043825e-19,1.92263260633626e-17,1.36126243431076e-17,"6373/3627/2919/9235/3624/1236/6351/1440/10563/6364/654/9560/958/6355/57007/6347/3586/6349/2921/10148/3576/2920/3554/3456",24,"CXCL11/CXCL10/CXCL1/IL32/INHBA/CCR7/CCL4/CSF3/CXCL13/CCL20/BMP6/CCL4L2/CD40/CCL8/ACKR3/CCL2/IL10/CCL3L1/CXCL3/EBI3/CXCL8/CXCL2/IL1R1/IFNB1"
"hsa04061","Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","16/67","100/9422",0.16,22.5002985074627,18.2916948499664,5.39839781839594e-18,4.53465416745259e-16,3.21062607094074e-16,"6373/3627/2919/1236/6351/10563/6364/9560/6355/57007/6347/3586/6349/2921/3576/2920",16,"CXCL11/CXCL10/CXCL1/CCR7/CCL4/CXCL13/CCL20/CCL4L2/CCL8/ACKR3/CCL2/IL10/CCL3L1/CXCL3/CXCL8/CXCL2"
"hsa04062","Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","16/67","193/9422",0.0829015544041451,11.658185755162,12.6604348835246,2.31812454859673e-13,1.29814974721417e-11,9.19116049092738e-12,"6714/6373/3627/2919/653361/1236/6351/10563/6364/9560/6355/6347/6349/2921/3576/2920",16,"SRC/CXCL11/CXCL10/CXCL1/NCF1/CCR7/CCL4/CXCL13/CCL20/CCL4L2/CCL8/CCL2/CCL3L1/CXCL3/CXCL8/CXCL2"
"hsa04668","Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","11/67","119/9422",0.092436974789916,12.9991220368745,11.1474478134948,5.78964229065411e-10,2.43164976207473e-08,1.72165678643136e-08,"330/3627/2919/602/6364/9021/6347/2921/7412/2920/3456",11,"BIRC3/CXCL10/CXCL1/BCL3/CCL20/SOCS3/CCL2/CXCL3/VCAM1/CXCL2/IFNB1"
"hsa04064","Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","10/67","105/9422",0.0952380952380952,13.3930348258706,10.8068289924803,2.796798846562e-09,9.39724412444833e-08,6.65343725603171e-08,"330/2919/6351/9560/958/2921/7412/3576/2920/3554",10,"BIRC3/CXCL1/CCL4/CCL4L2/CD40/CXCL3/VCAM1/CXCL8/CXCL2/IL1R1"
"hsa04620","Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","10/67","109/9422",0.0917431192660551,12.9015473093249,10.5763516501114,4.04259990557078e-09,1.13192797355982e-07,8.01427700578066e-08,"6373/3627/6351/3665/9560/958/6349/941/3576/3456",10,"CXCL11/CXCL10/CCL4/IRF7/CCL4L2/CD40/CCL3L1/CD80/CXCL8/IFNB1"
"hsa05323","Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","9/67","95/9422",0.0947368421052632,13.3225451688924,10.2153967908515,1.93707065827269e-08,4.64896957985445e-07,3.2915636749596e-07,"2919/6364/6347/6349/2921/7422/941/3576/2920",9,"CXCL1/CCL20/CCL2/CCL3L1/CXCL3/VEGFA/CD80/CXCL8/CXCL2"
"hsa05417","Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","12/67","216/9422",0.0555555555555556,7.81260364842454,8.57173074252917,3.06991284405122e-08,6.44681697250756e-07,4.56447567602352e-07,"6714/2919/653361/3665/958/6347/6349/2921/7412/3576/2920/3456",12,"SRC/CXCL1/NCF1/IRF7/CD40/CCL2/CCL3L1/CXCL3/VCAM1/CXCL8/CXCL2/IFNB1"
"hsa05144","Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","7/67","50/9422",0.14,19.6877611940299,11.2121821679419,5.23365129041935e-08,9.76948240878278e-07,6.91698942476475e-07,"1440/958/6347/3586/7412/4233/3576",7,"CSF3/CD40/CCL2/IL10/VCAM1/MET/CXCL8"
"hsa04657","Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","8/67","94/9422",0.0851063829787234,11.9682438869482,9.0442126317384,2.92259269181154e-07,4.90995572224339e-06,3.47634709657583e-06,"3627/2919/1440/6364/6347/2921/3576/2920",8,"CXCL10/CXCL1/CSF3/CCL20/CCL2/CXCL3/CXCL8/CXCL2"
"hsa04621","Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","10/67","187/9422",0.053475935828877,7.52015324447282,7.62121412802146,6.93386634376772e-07,1.05899049613907e-05,7.49786504158615e-06,"330/10135/2919/3665/6347/2921/4939/3576/2920/3456",10,"BIRC3/NAMPT/CXCL1/IRF7/CCL2/CXCL3/OAS2/CXCL8/CXCL2/IFNB1"
"hsa05164","Human Diseases","Infectious disease: viral","hsa05164","Influenza A","9/67","173/9422",0.0520231213872832,7.31584850314899,7.09530997404863,3.30097570315536e-06,4.6213659844175e-05,3.27201977593469e-05,"3627/3665/64135/9021/6347/4600/4939/3576/3456",9,"CXCL10/IRF7/IFIH1/SOCS3/CCL2/MX2/OAS2/CXCL8/IFNB1"
