ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,gene_symbols
GO:0060326,cell chemotaxis,23/97,311/18842,0.073954984,14.36556502,17.09673614,1.68E-20,3.67E-17,2.67E-17,1960/6373/3627/2919/1236/6351/10563/6364/6355/57007/6347/3586/5142/6349/2921/7412/1843/7130/4233/3164/7422/3576/2920,23,EGR3/CXCL11/CXCL10/CXCL1/CCR7/CCL4/CXCL13/CCL20/CCL8/ACKR3/CCL2/IL10/PDE4B/CCL3L1/CXCL3/VCAM1/DUSP1/TNFAIP6/MET/NR4A1/VEGFA/CXCL8/CXCL2
GO:0006935,chemotaxis,25/97,443/18842,0.056433409,10.96204417,15.26329633,2.08E-19,1.52E-16,1.11E-16,1960/6373/3627/2919/3690/1236/6351/10563/3084/6364/6355/57007/6347/3586/5142/6349/2921/7412/1843/7130/4233/3164/7422/3576/2920,25,EGR3/CXCL11/CXCL10/CXCL1/ITGB3/CCR7/CCL4/CXCL13/NRG1/CCL20/CCL8/ACKR3/CCL2/IL10/PDE4B/CCL3L1/CXCL3/VCAM1/DUSP1/TNFAIP6/MET/NR4A1/VEGFA/CXCL8/CXCL2
GO:0042330,taxis,25/97,443/18842,0.056433409,10.96204417,15.26329633,2.08E-19,1.52E-16,1.11E-16,1960/6373/3627/2919/3690/1236/6351/10563/3084/6364/6355/57007/6347/3586/5142/6349/2921/7412/1843/7130/4233/3164/7422/3576/2920,25,EGR3/CXCL11/CXCL10/CXCL1/ITGB3/CCR7/CCL4/CXCL13/NRG1/CCL20/CCL8/ACKR3/CCL2/IL10/PDE4B/CCL3L1/CXCL3/VCAM1/DUSP1/TNFAIP6/MET/NR4A1/VEGFA/CXCL8/CXCL2
GO:0009615,response to virus,20/97,400/18842,0.05,9.712371134,12.6694416,1.32E-14,7.18E-12,5.23E-12,10346/3627/8638/9636/51191/3669/6351/602/3665/64135/24138/6355/4600/10561/4939/10964/3433/3437/3434/3456,20,TRIM22/CXCL10/OASL/ISG15/HERC5/ISG20/CCL4/BCL3/IRF7/IFIH1/IFIT5/CCL8/MX2/IFI44/OAS2/IFI44L/IFIT2/IFIT3/IFIT1/IFNB1
GO:0002237,response to molecule of bacterial origin,18/97,319/18842,0.056426332,10.96066962,12.90694125,4.06E-14,1.77E-11,1.29E-11,79931/3627/1236/3656/1440/10563/654/29126/958/6347/3586/5142/7412/3164/941/3576/2920/8564,18,TNIP3/CXCL10/CCR7/IRAK2/CSF3/CXCL13/BMP6/CD274/CD40/CCL2/IL10/PDE4B/VCAM1/NR4A1/CD80/CXCL8/CXCL2/KMO
GO:0050900,leukocyte migration,18/97,352/18842,0.051136364,9.933106842,12.17027871,2.19E-13,7.21E-11,5.25E-11,6714/6373/3627/3690/1236/6351/10563/6364/6355/6347/3586/5142/2921/7412/1843/7130/7422/3576,18,SRC/CXCL11/CXCL10/ITGB3/CCR7/CCL4/CXCL13/CCL20/CCL8/CCL2/IL10/PDE4B/CXCL3/VCAM1/DUSP1/TNFAIP6/VEGFA/CXCL8
GO:0032496,response to lipopolysaccharide,17/97,302/18842,0.056291391,10.93445757,12.51952597,2.31E-13,7.21E-11,5.25E-11,79931/3627/1236/3656/1440/10563/654/29126/958/6347/3586/5142/7412/3164/941/3576/8564,17,TNIP3/CXCL10/CCR7/IRAK2/CSF3/CXCL13/BMP6/CD274/CD40/CCL2/IL10/PDE4B/VCAM1/NR4A1/CD80/CXCL8/KMO
GO:0006959,humoral immune response,16/97,296/18842,0.054054054,10.49986069,11.85040202,2.32E-12,6.33E-10,4.61E-10,6373/3627/2919/1236/9308/6351/10563/6364/6355/6347/6349/2921/10148/3576/2920/3456,16,CXCL11/CXCL10/CXCL1/CCR7/CD83/CCL4/CXCL13/CCL20/CCL8/CCL2/CCL3L1/CXCL3/EBI3/CXCL8/CXCL2/IFNB1
GO:0051607,defense response to virus,16/97,305/18842,0.052459016,10.19002873,11.63971062,3.66E-12,7.99E-10,5.82E-10,10346/3627/8638/9636/51191/3669/3665/64135/24138/4600/4939/10964/3433/3437/3434/3456,16,TRIM22/CXCL10/OASL/ISG15/HERC5/ISG20/IRF7/IFIH1/IFIT5/MX2/OAS2/IFI44L/IFIT2/IFIT3/IFIT1/IFNB1
GO:0071222,cellular response to lipopolysaccharide,14/97,210/18842,0.066666667,12.94982818,12.52670038,3.66E-12,7.99E-10,5.82E-10,79931/3627/3656/1440/10563/654/29126/958/6347/3586/5142/941/3576/8564,14,TNIP3/CXCL10/IRAK2/CSF3/CXCL13/BMP6/CD274/CD40/CCL2/IL10/PDE4B/CD80/CXCL8/KMO
